id,season,homeTeam,home_conference,awayTeam,away_conference,homePoints,awayPoints,neutral_site,startDate,seasonType,home_key,away_key
401756846,2025,Kansas State,Big 12,Iowa State,Big 12,21,24,True,2025-08-23T16:00:00.000Z,regular,"(2025, 'Kansas State')","(2025, 'Iowa State')"
401760371,2025,UNLV,Mountain West,Idaho State,Big Sky,38,31,False,2025-08-23T20:00:00.000Z,regular,"(2025, 'UNLV')","(2025, 'Idaho State')"
401756847,2025,Kansas,Big 12,Fresno State,Mountain West,31,7,False,2025-08-23T22:30:00.000Z,regular,"(2025, 'Kansas')","(2025, 'Fresno State')"
401757218,2025,Western Kentucky,Conference USA,Sam Houston,Conference USA,41,24,False,2025-08-23T23:00:00.000Z,regular,"(2025, 'Western Kentucky')","(2025, 'Sam Houston')"
401754516,2025,Hawai'i,Mountain West,Stanford,ACC,23,20,False,2025-08-23T23:30:00.000Z,regular,"(2025, ""Hawai'i"")","(2025, 'Stanford')"
401762522,2025,South Florida,American Athletic,Boise State,Mountain West,34,7,False,2025-08-28T21:30:00.000Z,regular,"(2025, 'South Florida')","(2025, 'Boise State')"
401762790,2025,Bowling Green,Mid-American,Lafayette,Patriot,26,7,False,2025-08-28T22:00:00.000Z,regular,"(2025, 'Bowling Green')","(2025, 'Lafayette')"
401752794,2025,Rutgers,Big Ten,Ohio,Mid-American,34,31,False,2025-08-28T22:00:00.000Z,regular,"(2025, 'Rutgers')","(2025, 'Ohio')"
401756848,2025,UCF,Big 12,Jacksonville State,Conference USA,17,10,False,2025-08-28T23:00:00.000Z,regular,"(2025, 'UCF')","(2025, 'Jacksonville State')"
401757219,2025,Delaware,Conference USA,Delaware State,MEAC,35,17,False,2025-08-28T23:00:00.000Z,regular,"(2025, 'Delaware')","(2025, 'Delaware State')"
401754373,2025,NC State,ACC,East Carolina,American Athletic,24,17,False,2025-08-28T23:00:00.000Z,regular,"(2025, 'NC State')","(2025, 'East Carolina')"
401762789,2025,Akron,Mid-American,Wyoming,Mountain West,0,10,False,2025-08-28T23:00:00.000Z,regular,"(2025, 'Akron')","(2025, 'Wyoming')"
401761588,2025,UL Monroe,Sun Belt,St. Francis (PA),NEC,29,0,False,2025-08-28T23:00:00.000Z,regular,"(2025, 'UL Monroe')","(2025, 'St. Francis (PA)')"
401754517,2025,Duke,ACC,Elon,CAA,45,17,False,2025-08-28T23:30:00.000Z,regular,"(2025, 'Duke')","(2025, 'Elon')"
401752674,2025,Missouri,SEC,Central Arkansas,UAC,61,6,False,2025-08-28T23:30:00.000Z,regular,"(2025, 'Missouri')","(2025, 'Central Arkansas')"
401756876,2025,Oklahoma State,Big 12,UT Martin,Big South-OVC,27,7,False,2025-08-28T23:30:00.000Z,regular,"(2025, 'Oklahoma State')","(2025, 'UT Martin')"
401756852,2025,Houston,Big 12,Stephen F. Austin,Southland,27,0,False,2025-08-29T00:00:00.000Z,regular,"(2025, 'Houston')","(2025, 'Stephen F. Austin')"
401752793,2025,Minnesota,Big Ten,Buffalo,Mid-American,23,10,False,2025-08-29T00:00:00.000Z,regular,"(2025, 'Minnesota')","(2025, 'Buffalo')"
401762430,2025,UAB,American Athletic,Alabama State,SWAC,52,42,False,2025-08-29T00:30:00.000Z,regular,"(2025, 'UAB')","(2025, 'Alabama State')"
401752796,2025,Cincinnati,Big 12,Nebraska,Big Ten,17,20,True,2025-08-29T01:00:00.000Z,regular,"(2025, 'Cincinnati')","(2025, 'Nebraska')"
401762791,2025,Wisconsin,Big Ten,Miami (OH),Mid-American,17,0,False,2025-08-29T01:00:00.000Z,regular,"(2025, 'Wisconsin')","(2025, 'Miami (OH)')"
401760357,2025,San Diego State,Mountain West,Stony Brook,CAA,42,0,False,2025-08-29T02:00:00.000Z,regular,"(2025, 'San Diego State')","(2025, 'Stony Brook')"
401762432,2025,Army,American Athletic,Tarleton State,UAC,27,30,False,2025-08-29T22:00:00.000Z,regular,"(2025, 'Army')","(2025, 'Tarleton State')"
401754374,2025,Wake Forest,ACC,Kennesaw State,Conference USA,10,9,False,2025-08-29T23:00:00.000Z,regular,"(2025, 'Wake Forest')","(2025, 'Kennesaw State')"
401761589,2025,Charlotte,American Athletic,App State,Sun Belt,11,34,True,2025-08-29T23:00:00.000Z,regular,"(2025, 'Charlotte')","(2025, 'App State')"
401766898,2025,Florida International,Conference USA,Bethune-Cookman,SWAC,42,9,False,2025-08-29T23:00:00.000Z,regular,"(2025, 'Florida International')","(2025, 'Bethune-Cookman')"
401752802,2025,Michigan State,Big Ten,Western Michigan,Mid-American,23,6,False,2025-08-29T23:00:00.000Z,regular,"(2025, 'Michigan State')","(2025, 'Western Michigan')"
401756854,2025,Kansas,Big 12,Wagner,NEC,46,7,False,2025-08-29T23:30:00.000Z,regular,"(2025, 'Kansas')","(2025, 'Wagner')"
401752795,2025,Illinois,Big Ten,Western Illinois,Big South-OVC,52,3,False,2025-08-29T23:30:00.000Z,regular,"(2025, 'Illinois')","(2025, 'Western Illinois')"
401754375,2025,Colorado,Big 12,Georgia Tech,ACC,20,27,False,2025-08-30T00:00:00.000Z,regular,"(2025, 'Colorado')","(2025, 'Georgia Tech')"
401752667,2025,Baylor,Big 12,Auburn,SEC,24,38,False,2025-08-30T00:00:00.000Z,regular,"(2025, 'Baylor')","(2025, 'Auburn')"
401757224,2025,Sam Houston,Conference USA,UNLV,Mountain West,21,38,True,2025-08-30T01:30:00.000Z,regular,"(2025, 'Sam Houston')","(2025, 'UNLV')"
401760358,2025,San José State,Mountain West,Central Michigan,Mid-American,14,16,False,2025-08-30T02:30:00.000Z,regular,"(2025, 'San José State')","(2025, 'Central Michigan')"
401752677,2025,Ohio State,Big Ten,Texas,SEC,14,7,False,2025-08-30T16:00:00.000Z,regular,"(2025, 'Ohio State')","(2025, 'Texas')"
401762434,2025,Navy,American Athletic,VMI,Southern,52,7,False,2025-08-30T16:00:00.000Z,regular,"(2025, 'Navy')","(2025, 'VMI')"
