season,team,QB1,RB1,FB1,WR1,WR2,TE1,OL1,OL2,OL3,OL4,OL5,DL1,DL2,DL3,DL4,LB1,LB2,LB3,DB1,DB2,DB3,DB4,PK1,P1,OL_avg,WR_avg,DL_avg,LB_avg,DB_avg
2025,Cal Poly,3.0,3.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,1.25,0.0,0.0
2025,Holy Cross,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.75
2025,Kennesaw State,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,4.0,3.0,3.0,3.0,0.0,0.0,0.6,1.5,3.25,0.0,3.25
2025,Samford,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,1.5
2025,Alabama,5.0,4.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,3.0,3.0,4.4,5.0,4.75,4.333333333333333,4.75
2025,Charleston Southern,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.75,0.0,0.5
2025,Fresno State,3.0,4.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.5,3.0,3.0
2025,Temple,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,0.0,1.2,3.0,1.5,3.3333333333333335,3.0
2025,Villanova,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0
2025,Elon,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2025,Southern Utah,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.75
2025,Lindenwood,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.6,0.0,0.75,2.0,0.0
2025,Gardner-Webb,3.0,0.0,0.0,3.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,2.5,0.75,1.0,0.75
2025,Bethune-Cookman,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.5,1.25,0.0,2.25
2025,Alabama A&M,3.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.2,0.0,1.5,1.0,2.25
2025,Arizona,4.0,4.0,0.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,0.0,3.0,4.0,3.25,3.3333333333333335,3.5
2025,Arkansas,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,0.0,3.6,4.0,4.0,4.333333333333333,4.0
