QB_diff,OL_adv_1,OL_adv_2,WR_adv_1,WR_adv_2,RB_adv_1,RB_adv_2,TE_diff,PK_diff,P_diff,QB1_vs_DB_2,QB2_vs_DB_1,PASS_SYNERGY_diff,team_1_is_home,season,team_1,team_2,target
0.0,-1.0,0.2999999999999998,0.75,0.75,0.6666666666666665,0.6666666666666665,-1.0,0.0,2.0,0.75,0.75,-0.21052631578947345,1,2021,Illinois,Nebraska,1
0.0,0.2999999999999998,-1.0,0.75,0.75,0.6666666666666665,0.6666666666666665,1.0,0.0,-2.0,0.75,0.75,0.21052631578947345,0,2021,Nebraska,Illinois,0
-1.0,0.20000000000000018,0.25,-0.25,-0.25,0.0,0.0,0.0,-3.0,0.0,-0.25,0.75,-0.5263157894736841,1,2021,Fresno State,UConn,1
1.0,0.25,0.20000000000000018,-0.25,-0.25,0.0,0.0,0.0,3.0,0.0,0.75,-0.25,0.5263157894736841,0,2021,UConn,Fresno State,0
1.0,0.3999999999999999,-0.9500000000000002,1.0,-0.75,1.0,-1.0,2.0,-1.0,3.0,1.0,-0.75,1.2105263157894735,1,2021,UCLA,Hawai'i,1
-1.0,-0.9500000000000002,0.3999999999999999,-0.75,1.0,-1.0,1.0,-2.0,1.0,-3.0,-0.75,1.0,-1.2105263157894735,0,2021,Hawai'i,UCLA,0
0.0,0.0,1.35,1.25,-0.25,0.33333333333333326,-1.0,1.0,-2.0,0.0,1.25,0.25,0.34210526315789513,1,2021,New Mexico State,UTEP,0
0.0,1.35,0.0,-0.25,1.25,-1.0,0.33333333333333326,-1.0,2.0,0.0,0.25,1.25,-0.34210526315789513,0,2021,UTEP,New Mexico State,1
3.0,0.8500000000000001,-3.0,2.25,-1.5,3.0,-3.3333333333333335,3.0,0.0,0.0,2.25,-3.0,2.605263157894737,1,2021,San José State,Southern Utah,1
-3.0,-3.0,0.8500000000000001,-1.5,2.25,-3.3333333333333335,3.0,-3.0,0.0,0.0,-3.0,2.25,-2.605263157894737,0,2021,Southern Utah,San José State,0
1.0,-2.5,2.8,-1.5,2.25,0.0,2.3333333333333335,-3.0,-2.0,0.0,1.0,2.25,-0.5000000000000004,1,2021,Jacksonville State,UAB,0
-1.0,2.8,-2.5,2.25,-1.5,2.3333333333333335,0.0,3.0,2.0,0.0,2.25,1.0,0.5000000000000004,0,2021,UAB,Jacksonville State,1
3.0,1.85,-2.75,1.75,-2.75,3.0,-3.0,2.0,0.0,2.0,1.75,-2.75,2.7894736842105265,1,2021,Ball State,Western Illinois,1
-3.0,-2.75,1.85,-2.75,1.75,-3.0,3.0,-2.0,0.0,-2.0,-2.75,1.75,-2.7894736842105265,0,2021,Western Illinois,Ball State,0
3.0,2.8,-3.0,3.0,-3.0,3.0,-2.0,3.0,0.0,0.0,3.0,-3.0,3.0000000000000004,1,2021,Buffalo,Wagner,1
-3.0,-3.0,2.8,-3.0,3.0,-2.0,3.0,-3.0,0.0,0.0,-3.0,3.0,-3.0000000000000004,0,2021,Wagner,Buffalo,0
