id,year,home_team,home_conference,away_team,away_conference,home_points,away_points,neutral_site,start_date,season_type
400603840,2015,South Carolina,SEC,North Carolina,ACC,17,13,True,2015-09-03T22:00:00.000Z,regular
400763593,2015,UCF,American Athletic,Florida International,Conference USA,14,15,False,2015-09-03T22:00:00.000Z,regular
400787299,2015,Ball State,Mid-American,VMI,Southern,48,36,False,2015-09-03T23:00:00.000Z,regular
400756896,2015,Wake Forest,ACC,Elon,CAA,41,3,False,2015-09-03T23:00:00.000Z,regular
400763399,2015,Central Michigan,Mid-American,Oklahoma State,Big 12,13,24,False,2015-09-03T23:00:00.000Z,regular
400756895,2015,Georgia Tech,ACC,Alcorn State,SWAC,69,6,False,2015-09-03T23:30:00.000Z,regular
400764854,2015,UConn,American Athletic,Villanova,CAA,20,15,False,2015-09-03T23:30:00.000Z,regular
400603839,2015,Vanderbilt,SEC,Western Kentucky,Conference USA,12,14,False,2015-09-04T00:00:00.000Z,regular
400756883,2015,Utah,Pac-12,Michigan,Big Ten,24,17,False,2015-09-04T00:30:00.000Z,regular
400763398,2015,Minnesota,Big Ten,TCU,Big 12,17,23,False,2015-09-04T01:00:00.000Z,regular
400787302,2015,Idaho,Sun Belt,Ohio,Mid-American,28,45,False,2015-09-04T01:00:00.000Z,regular
400787110,2015,Utah State,Mountain West,Southern Utah,Big Sky,12,9,False,2015-09-04T01:00:00.000Z,regular
400756894,2015,Tulane,American Athletic,Duke,ACC,7,37,False,2015-09-04T01:30:00.000Z,regular
400756882,2015,Arizona,Pac-12,UTSA,Conference USA,42,32,False,2015-09-04T02:00:00.000Z,regular
400787108,2015,Nevada,Mountain West,UC Davis,Big Sky,31,17,False,2015-09-04T02:00:00.000Z,regular
400787109,2015,San José State,Mountain West,New Hampshire,CAA,43,13,False,2015-09-04T02:00:00.000Z,regular
400799923,2015,Fresno State,Mountain West,Abilene Christian,Southland,34,13,False,2015-09-04T02:00:00.000Z,regular
400787107,2015,Hawai'i,Mountain West,Colorado,Pac-12,28,20,False,2015-09-04T05:00:00.000Z,regular
400763587,2015,Georgia State,Sun Belt,Charlotte,Conference USA,20,23,False,2015-09-04T19:30:00.000Z,regular
400764855,2015,SMU,American Athletic,Baylor,Big 12,21,56,False,2015-09-04T23:00:00.000Z,regular
400756903,2015,Syracuse,ACC,Rhode Island,CAA,47,0,False,2015-09-04T23:00:00.000Z,regular
400763470,2015,Western Michigan,Mid-American,Michigan State,Big Ten,24,37,False,2015-09-04T23:00:00.000Z,regular
400760491,2015,Army,FBS Independents,Fordham,Patriot,35,37,False,2015-09-04T23:00:00.000Z,regular
400756887,2015,Oregon State,Pac-12,Weber State,Big Sky,26,7,False,2015-09-05T00:00:00.000Z,regular
400756888,2015,Boise State,Mountain West,Washington,Pac-12,16,13,False,2015-09-05T02:26:00.000Z,regular
400603831,2015,Georgia,SEC,UL Monroe,Sun Belt,51,14,False,2015-09-05T16:00:00.000Z,regular
400756891,2015,Northwestern,Big Ten,Stanford,Pac-12,16,6,False,2015-09-05T16:00:00.000Z,regular
400763496,2015,Rutgers,Big Ten,Norfolk State,MEAC,63,13,True,2015-09-05T16:00:00.000Z,regular
400763473,2015,Iowa,Big Ten,Illinois State,MVFC,31,14,False,2015-09-05T16:00:00.000Z,regular
400763494,2015,Maryland,Big Ten,Richmond,CAA,50,21,False,2015-09-05T16:00:00.000Z,regular
400763401,2015,Kansas,Big 12,South Dakota State,MVFC,38,41,False,2015-09-05T16:00:00.000Z,regular
400764860,2015,Navy,American Athletic,Colgate,Patriot,48,10,False,2015-09-05T16:00:00.000Z,regular
400603835,2015,Ole Miss,SEC,UT Martin,OVC,76,3,False,2015-09-05T16:00:00.000Z,regular
400756898,2015,Clemson,ACC,Wofford,Southern,49,10,False,2015-09-05T16:30:00.000Z,regular
400756897,2015,Boston College,ACC,Maine,CAA,24,3,False,2015-09-05T17:00:00.000Z,regular
400756902,2015,Pittsburgh,ACC,Youngstown State,MVFC,45,37,False,2015-09-05T17:00:00.000Z,regular
400756889,2015,Washington State,Pac-12,Portland State,Big Sky,17,24,False,2015-09-05T18:00:00.000Z,regular
400835430,2015,Illinois,Big Ten,Kent State,Mid-American,52,3,False,2015-09-05T18:00:00.000Z,regular
400603829,2015,Auburn,SEC,Louisville,ACC,31,24,True,2015-09-05T19:30:00.000Z,regular
400603828,2015,Arkansas,SEC,UTEP,Conference USA,48,13,False,2015-09-05T19:30:00.000Z,regular
400763495,2015,Nebraska,Big Ten,BYU,FBS Independents,28,33,False,2015-09-05T19:30:00.000Z,regular
400756904,2015,UCLA,Pac-12,Virginia,ACC,34,16,False,2015-09-05T19:30:00.000Z,regular
400763588,2015,Eastern Michigan,Mid-American,Old Dominion,Conference USA,34,38,False,2015-09-05T19:30:00.000Z,regular
400763592,2015,Tulsa,American Athletic,Florida Atlantic,Conference USA,47,44,False,2015-09-05T19:30:00.000Z,regular
400787412,2015,App State,Sun Belt,Howard,MEAC,49,0,False,2015-09-05T19:30:00.000Z,regular
400763497,2015,Temple,American Athletic,Penn State,Big Ten,27,10,False,2015-09-05T19:30:00.000Z,regular
400787111,2015,Air Force,Mountain West,Morgan State,MEAC,63,7,False,2015-09-05T19:30:00.000Z,regular
400787303,2015,Buffalo,Mid-American,UAlbany,CAA,51,14,False,2015-09-05T19:30:00.000Z,regular
400787304,2015,Miami (OH),Mid-American,Presbyterian,Big South,26,7,False,2015-09-05T19:30:00.000Z,regular
400763406,2015,Texas Tech,Big 12,Sam Houston,Southland,59,45,False,2015-09-05T19:30:00.000Z,regular
400787112,2015,Colorado State,Mountain West,Savannah St,MEAC,65,13,True,2015-09-05T20:00:00.000Z,regular
400763472,2015,Indiana,Big Ten,Southern Illinois,MVFC,48,47,False,2015-09-05T20:00:00.000Z,regular
400603834,2015,Missouri,SEC,Southeast Missouri State,OVC,34,3,False,2015-09-05T20:00:00.000Z,regular
400787116,2015,Wyoming,Mountain West,North Dakota,Big Sky,13,24,False,2015-09-05T20:00:00.000Z,regular
400834350,2015,Tennessee,SEC,Bowling Green,Mid-American,59,30,True,2015-09-05T20:00:00.000Z,regular
400763591,2015,Rice,Conference USA,Wagner,NEC,56,16,False,2015-09-05T20:40:00.000Z,regular
400756890,2015,California,Pac-12,Grambling,SWAC,73,14,False,2015-09-05T21:00:00.000Z,regular
400756901,2015,NC State,ACC,Troy,Sun Belt,49,21,False,2015-09-05T22:00:00.000Z,regular
400756900,2015,Miami,ACC,Bethune-Cookman,MEAC,45,0,False,2015-09-05T22:00:00.000Z,regular
400764857,2015,East Carolina,American Athletic,Towson,CAA,28,20,False,2015-09-05T22:00:00.000Z,regular
400787414,2015,South Alabama,Sun Belt,Gardner-Webb,Big South,33,23,True,2015-09-05T22:00:00.000Z,regular
400764859,2015,Memphis,American Athletic,Missouri State,MVFC,63,7,False,2015-09-05T23:00:00.000Z,regular
400763590,2015,Middle Tennessee,Conference USA,Jackson State,SWAC,70,14,False,2015-09-05T23:00:00.000Z,regular
400763589,2015,Louisiana Tech,Conference USA,Southern,SWAC,62,15,False,2015-09-05T23:00:00.000Z,regular
400764861,2015,South Florida,American Athletic,Florida A&M,MEAC,51,3,False,2015-09-05T23:00:00.000Z,regular
400603838,2015,Texas A&M,SEC,Arizona State,Pac-12,38,17,True,2015-09-05T23:00:00.000Z,regular
400603832,2015,Kentucky,SEC,Louisiana,Sun Belt,40,33,False,2015-09-05T23:00:00.000Z,regular
400763404,2015,Oklahoma,Big 12,Akron,Mid-American,41,3,False,2015-09-05T23:00:00.000Z,regular
400763402,2015,Kansas State,Big 12,South Dakota,MVFC,34,0,False,2015-09-05T23:10:00.000Z,regular
400763407,2015,West Virginia,Big 12,Georgia Southern,Sun Belt,44,0,False,2015-09-05T23:30:00.000Z,regular
400763403,2015,Notre Dame,FBS Independents,Texas,Big 12,38,3,False,2015-09-05T23:30:00.000Z,regular
400603830,2015,Florida,SEC,New Mexico State,Sun Belt,61,13,False,2015-09-05T23:30:00.000Z,regular
400787115,2015,Northern Illinois,Mid-American,UNLV,Mountain West,38,30,False,2015-09-05T23:30:00.000Z,regular
400603827,2015,Alabama,SEC,Wisconsin,Big Ten,35,17,True,2015-09-06T00:00:00.000Z,regular
400756886,2015,Oregon,Pac-12,Eastern Washington,Big Sky,61,42,False,2015-09-06T00:00:00.000Z,regular
