team,pre_nil_avg_elite,post_nil_avg_elite,elite_delta
Texas A&M,28.285714285714285,52.0,23.714285714285715
Oregon,24.857142857142858,48.5,23.642857142857142
Penn State,28.285714285714285,50.25,21.964285714285715
Oklahoma,28.428571428571427,48.5,20.071428571428573
Texas,37.42857142857143,55.75,18.32142857142857
Kentucky,11.142857142857142,27.5,16.357142857142858
Missouri,7.285714285714286,23.5,16.214285714285715
Ohio State,50.285714285714285,65.25,14.964285714285715
Georgia,51.285714285714285,65.75,14.464285714285715
SMU,2.0,16.0,14.0
North Carolina,14.285714285714286,28.0,13.714285714285714
Notre Dame,42.57142857142857,55.75,13.17857142857143
Utah,5.0,16.25,11.25
Wisconsin,10.0,21.25,11.25
Miami,28.285714285714285,39.5,11.214285714285715
Ole Miss,16.0,26.75,10.75
Mississippi State,12.142857142857142,22.75,10.607142857142858
Arkansas,13.714285714285714,24.25,10.535714285714286
Colorado,4.0,14.5,10.5
TCU,10.285714285714286,20.75,10.464285714285714
UCF,3.857142857142857,14.25,10.392857142857142
Texas Tech,3.4285714285714284,13.25,9.821428571428571
NC State,9.571428571428571,19.25,9.678571428571429
Florida,30.714285714285715,40.25,9.535714285714285
Clemson,38.42857142857143,47.75,9.32142857142857
Nebraska,15.857142857142858,25.0,9.142857142857142
Iowa,4.714285714285714,13.75,9.035714285714285
Georgia Tech,5.714285714285714,14.5,8.785714285714285
Alabama,55.57142857142857,64.25,8.67857142857143
Purdue,4.142857142857143,12.75,8.607142857142858
South Carolina,20.571428571428573,28.25,7.678571428571427
California,6.142857142857143,13.75,7.607142857142857
Syracuse,0.5714285714285714,8.0,7.428571428571429
Tennessee,26.0,33.25,7.25
Minnesota,4.0,10.5,6.5
Cincinnati,2.2857142857142856,8.75,6.464285714285714
Louisville,8.0,14.25,6.25
Indiana,2.0,8.25,6.25
Boston College,2.142857142857143,8.25,6.107142857142858
Arizona,4.428571428571429,10.25,5.821428571428571
Kansas State,0.2857142857142857,6.0,5.714285714285714
Kansas,1.8571428571428572,7.25,5.392857142857142
Maryland,11.857142857142858,17.0,5.142857142857142
Tulane,0.42857142857142855,5.5,5.071428571428571
Massachusetts,0.7142857142857143,5.75,5.035714285714286
Memphis,1.2857142857142858,6.25,4.964285714285714
Charlotte,0.2857142857142857,5.25,4.964285714285714
UNLV,0.7142857142857143,5.5,4.785714285714286
LSU,41.42857142857143,45.75,4.321428571428569
UTSA,0.7142857142857143,5.0,4.285714285714286
West Virginia,4.571428571428571,8.75,4.178571428571429
Jackson State,0.6666666666666666,4.75,4.083333333333333
Baylor,6.714285714285714,10.75,4.035714285714286
South Florida,1.2857142857142858,5.25,3.9642857142857144
Wake Forest,0.8571428571428571,4.75,3.892857142857143
Michigan,39.142857142857146,43.0,3.857142857142854
USC,33.142857142857146,37.0,3.857142857142854
UConn,0.7142857142857143,4.5,3.7857142857142856
Florida Atlantic,1.2857142857142858,5.0,3.7142857142857144
Houston,3.2857142857142856,7.0,3.7142857142857144
Marshall,0.7142857142857143,4.25,3.5357142857142856
Oregon State,4.0,7.5,3.5
Toledo,0.0,3.5,3.5
Coastal Carolina,0.2857142857142857,3.75,3.4642857142857144
