year,team,conference,predicted_rating,national_rank
2015,Ohio State,Big Ten,29.5,1
2015,Alabama,SEC,29.0,2
2015,Ole Miss,SEC,27.0,3
2015,Clemson,ACC,24.0,4
2015,Florida State,ACC,23.2,5
2015,Stanford,ACC,22.8,6
2015,Oklahoma,SEC,22.7,7
2015,Notre Dame,FBS Independents,22.4,8
2015,North Carolina,ACC,20.0,9
2015,LSU,SEC,19.7,10
2015,Michigan,Big Ten,19.7,10
2015,Baylor,Big 12,19.5,12
2015,Tennessee,SEC,19.5,12
2015,Arkansas,SEC,19.2,14
2015,TCU,Big 12,19.0,15
2015,UCLA,Big Ten,18.6,16
2015,Georgia,SEC,16.8,17
2015,USC,Big Ten,16.8,17
2015,Oregon,Big Ten,15.9,19
2015,Michigan State,Big Ten,15.6,20
2015,Mississippi State,SEC,15.1,21
2015,Wisconsin,Big Ten,15.1,21
2015,Auburn,SEC,14.6,23
2015,Texas A&M,SEC,14.1,24
2015,Florida,SEC,13.8,25
2015,Louisville,ACC,13.2,26
2015,West Virginia,Big 12,12.9,27
2015,California,ACC,12.1,28
2015,Navy,American Athletic,12.1,28
2015,Boise State,Pac-12,11.8,30
2015,Virginia Tech,ACC,11.4,31
2015,Penn State,Big Ten,11.3,32
2015,Nebraska,Big Ten,11.1,33
2015,Pittsburgh,ACC,11.1,33
2015,Miami,ACC,11.0,35
2015,Utah,Big 12,11.0,35
2015,Western Kentucky,Conference USA,10.8,37
2015,Arizona State,Big 12,10.2,38
2015,Oklahoma State,Big 12,9.9,39
2015,Washington,Big Ten,9.7,40
2015,NC State,ACC,9.6,41
2015,Iowa,Big Ten,9.3,42
2015,Georgia Tech,ACC,9.0,43
2015,BYU,Big 12,8.7,44
2015,Louisiana Tech,Conference USA,8.3,45
2015,Minnesota,Big Ten,8.1,46
2015,Memphis,American Athletic,8.0,47
2015,San Diego State,Pac-12,8.0,47
2015,App State,Sun Belt,7.9,49
2015,Toledo,Mid-American,7.7,50
2015,Bowling Green,Mid-American,7.5,51
2015,Georgia Southern,Sun Belt,7.3,52
2015,Houston,Big 12,6.2,53
2015,Temple,American Athletic,6.0,54
2015,Cincinnati,Big 12,5.3,55
2015,Western Michigan,Mid-American,4.9,56
2015,Air Force,Mountain West,4.7,57
2015,Arizona,Big 12,4.7,57
2015,Boston College,ACC,4.7,57
2015,Texas Tech,Big 12,4.5,60
2015,Washington State,Pac-12,4.2,61
2015,Texas,SEC,3.7,62
2015,South Florida,American Athletic,3.6,63
2015,Marshall,Sun Belt,3.5,64
2015,Duke,ACC,3.4,65
2015,Missouri,SEC,3.4,65
2015,South Carolina,SEC,3.4,65
2015,Illinois,Big Ten,2.7,68
2015,Kansas State,Big 12,2.6,69
2015,nationalAverages,,2.23,70
2015,Southern Miss,Sun Belt,1.4,71
2015,Virginia,ACC,1.4,71
2015,Arkansas State,Sun Belt,0.5,73
2015,Colorado State,Pac-12,0.5,73
2015,Indiana,Big Ten,0.4,75
2015,Northwestern,Big Ten,0.2,76
2015,Utah State,Pac-12,-0.1,77
2015,Iowa State,Big 12,-0.3,78
2015,Kentucky,SEC,-0.3,78
2015,East Carolina,American Athletic,-0.5,80
2015,Ohio,Mid-American,-0.5,80
2015,Akron,Mid-American,-0.8,82
2015,Northern Illinois,Mountain West,-0.9,83
2015,Maryland,Big Ten,-1.6,84
2015,Vanderbilt,SEC,-1.6,84
2015,Central Michigan,Mid-American,-3.1,86
2015,Syracuse,ACC,-3.9,87
2015,Colorado,Big 12,-4.0,88
2015,San José State,Mountain West,-4.5,89
2015,Wake Forest,ACC,-4.5,89
2015,Middle Tennessee,Conference USA,-4.6,91
2015,UConn,FBS Independents,-6.3,92
2015,Georgia State,Sun Belt,-6.7,93
2015,Troy,Sun Belt,-7.0,94
2015,Louisiana,Sun Belt,-7.1,95
2015,Nevada,Mountain West,-7.1,95
2015,Purdue,Big Ten,-7.4,97
2015,Tulsa,American Athletic,-8.5,98
2015,New Mexico,Mountain West,-8.7,99
2015,Massachusetts,Mid-American,-9.5,100
2015,Florida Atlantic,American Athletic,-9.8,101
2015,Oregon State,Pac-12,-10.1,102
2015,Rutgers,Big Ten,-10.1,102
2015,Buffalo,Mid-American,-10.3,104
2015,South Alabama,Sun Belt,-10.4,105
2015,Kent State,Mid-American,-11.9,106
2015,Idaho,Big Sky,-12.2,107
2015,Fresno State,Pac-12,-12.6,108
2015,Miami (OH),Mid-American,-13.5,109
2015,Tulane,American Athletic,-14.0,110
2015,Rice,American Athletic,-14.6,111
2015,UL Monroe,Sun Belt,-14.7,112
2015,Old Dominion,Sun Belt,-14.8,113
2015,Ball State,Mid-American,-15.5,114
2015,Texas State,Pac-12,-15.5,114
2015,UCF,Big 12,-15.5,114
2015,UNLV,Mountain West,-16.2,117
2015,Hawai'i,Mountain West,-16.3,118
2015,Florida International,Conference USA,-16.6,119
2015,Wyoming,Mountain West,-16.7,120
2015,SMU,ACC,-17.5,121
2015,UTSA,American Athletic,-17.7,122
2015,New Mexico State,Conference USA,-18.6,123
2015,UTEP,Mountain West,-19.5,124
2015,Eastern Michigan,Mid-American,-19.7,125
2015,Kansas,Big 12,-21.3,126
2015,Army,American Athletic,-21.7,127
2015,Charlotte,American Athletic,-21.7,127
2015,North Texas,American Athletic,-25.0,129
2016,Alabama,SEC,31.7,1
2016,Clemson,ACC,28.7,2
2016,Washington,Big Ten,26.7,3
2016,Oklahoma,SEC,26.1,4
2016,LSU,SEC,25.3,5
2016,Michigan,Big Ten,24.4,6
2016,Florida State,ACC,24.0,7
2016,USC,Big Ten,23.6,8
2016,Louisville,ACC,22.9,9
2016,Ohio State,Big Ten,22.4,10
2016,Penn State,Big Ten,19.0,11
2016,Miami,ACC,18.6,12
2016,Oklahoma State,Big 12,16.4,13
2016,Stanford,ACC,16.4,13
2016,Tennessee,SEC,16.3,15
2016,Wisconsin,Big Ten,16.1,16
2016,North Carolina,ACC,15.9,17
2016,Notre Dame,FBS Independents,15.7,18
2016,Western Kentucky,Conference USA,15.5,19
2016,Florida,SEC,15.4,20
2016,Auburn,SEC,15.3,21
2016,Virginia Tech,ACC,15.2,22
2016,Pittsburgh,ACC,13.1,23
2016,Minnesota,Big Ten,12.6,24
2016,Ole Miss,SEC,12.4,25
