team,conference,positionGroup,averageRating,totalRating,commits,averageStars,year
Air Force,Mountain West,Defensive Back,0.7610999941825867,2.2833,3,2.3333333333333333,2009
Air Force,Mountain West,Defensive Line,0.7816500067710876,3.1266,4,2.2500000000000000,2009
Air Force,Mountain West,Linebacker,0.7889000177383423,1.5778,2,2.5000000000000000,2009
Air Force,Mountain West,Offensive Line,0.7933333516120911,2.38,3,2.3333333333333333,2009
Air Force,Mountain West,Quarterback,0.766700029373169,0.7667,1,2.0000000000000000,2009
Air Force,Mountain West,Receiver,0.7577800273895263,3.7889001,5,2.0000000000000000,2009
Air Force,Mountain West,Running Back,0.7444000244140625,0.7444,1,2.0000000000000000,2009
Air Force,Mountain West,Special Teams,0.766700029373169,0.7667,1,2.0000000000000000,2009
Akron,Mid-American,Defensive Back,0.7740666667620341,2.3222,3,2.3333333333333333,2009
Akron,Mid-American,Defensive Line,0.7889000177383423,0.7889,1,2.0000000000000000,2009
Akron,Mid-American,Linebacker,0.7592666745185852,2.2778,3,2.0000000000000000,2009
Akron,Mid-American,Offensive Line,0.8007666865984598,2.4023001,3,2.3333333333333333,2009
Akron,Mid-American,Receiver,0.7707500159740448,4.6245003,6,2.1666666666666667,2009
Akron,Mid-American,Running Back,0.766700029373169,0.7667,1,2.0000000000000000,2009
Akron,Mid-American,Special Teams,0.7560999989509583,1.5122,2,2.0000000000000000,2009
Alabama,SEC,Defensive Back,0.9558500051498413,1.9117,2,4.5000000000000000,2009
Alabama,SEC,Defensive Line,0.9018500000238419,3.6074,4,3.7500000000000000,2009
Alabama,SEC,Linebacker,0.9383749961853027,3.7535,4,4.0000000000000000,2009
Alabama,SEC,Offensive Line,0.9280000030994415,1.856,2,4.0000000000000000,2009
Alabama,SEC,Quarterback,0.9593999981880188,0.9594,1,4.0000000000000000,2009
Alabama,SEC,Receiver,0.9166750013828278,3.6667001,4,4.0000000000000000,2009
Alabama,SEC,Running Back,0.9346333344777426,2.8039,3,4.0000000000000000,2009
Alabama State,SWAC,Offensive Line,0.766700029373169,0.7667,1,2.0000000000000000,2009
Arizona,Pac-10,Defensive Back,0.8629499971866608,1.7258999,2,3.5000000000000000,2009
Arizona,Pac-10,Defensive Line,0.8444666663805643,2.5334,3,2.6666666666666667,2009
Arizona,Pac-10,Linebacker,0.8674000104268392,2.6022,3,3.3333333333333333,2009
Arizona,Pac-10,Offensive Line,0.8488999903202057,1.6977999,2,3.0000000000000000,2009
