team,conference,mascot,latitude,longitude,venue_name
Abilene Christian,UAC,Wildcats,32.472275,-99.710464,Wildcat Stadium (TX)
Adams State,Rocky Mountain,Grizzlies,37.5780995,-105.7890452,Rex Stadium
Adrian,Michigan,Bulldogs,41.8975152,-84.0373054,Docking Stadium
Air Force,Mountain West,Falcons,38.9969701,-104.8436165,Falcon Stadium
Akron,Mid-American,Zips,41.0725534,-81.5083408,InfoCision Stadium
Alabama,SEC,Crimson Tide,33.2082752,-87.5503836,Bryant-Denny Stadium
Alabama A&M,SWAC,Bulldogs,34.7835363,-86.5784132,Louis Crews Stadium
Alabama State,SWAC,Hornets,32.3642223,-86.2896902,Hornet Stadium
Albany State GA,SIAC,Golden Rams,31.5782062,-84.1556809,Albany State University Coliseum
Albion,Michigan,Britons,42.243097,-84.7530304,Sprankle-Sprandel Stadium
Albright,Mid Atlantic,Lions,40.335345,-75.9279495,Gene L. Shirk Stadium
Alcorn State,SWAC,Braves,31.873621,-91.13488,Jack Spinks Stadium
Alderson-Broaddus,Mountain East,Battlers,39.1523198,-80.0403578,Multi-Sport Performance Stadium
Alfred State,Empire 8,Pioneers,42.2542334,-77.7906062,Pioneer Stadium
Alfred University,Empire 8,Saxons,42.2542334,-77.7906062,Merrill Field at Yunevich Stadium
Allegheny,Presidents',Gators,41.641445,-80.151449,Frank B. Fuhrer Field
Allen,SIAC,Yellow Jackets,34.0007493,-81.0343313,W.C. Hawkins Stadium
Alma,Michigan,Scots,43.37892,-84.659727,Bahlke Field
American International,Northeast 10,Yellow Jackets,42.1018764,-72.5886727,Ronald J. Abdow Field
Amherst,NESCAC,Mammoths,42.3685658,-72.505714,Pratt Field at Lehrman Stadium
Anderson (IN),Heartland,Ravens,40.1053196,-85.6802541,Macholtz Stadium
Angelo State,Lone Star,Rams,31.4649685,-100.4405094,LeGrand Stadium at 1st Community Credit Union Field
Anna Maria College,MSCAC,Amcats,42.3122967,-71.934172,Caparso Field
Apprentice School,Independent DIII,Builders,36.9775016,-76.42977,Apprentice Field
App State,Sun Belt,Mountaineers,36.2114267,-81.6854278,Kidd Brewer Stadium
Arizona,Big 12,Wildcats,32.2288054,-110.9488677,Arizona Stadium
Arizona State,Big 12,Sun Devils,33.4264471,-111.9325005,Mountain America Stadium
Arkansas,SEC,Razorbacks,36.0680662,-94.1789534,Razorback Stadium
Arkansas-Monticello,Great American,Boll Weevils,33.6293427,-91.7912327,Convoy Leslie Cotton Boll Stadium
Arkansas-Pine Bluff,SWAC,Golden Lions,34.253327,-92.0214031,Golden Lion Stadium
Arkansas State,Sun Belt,Red Wolves,35.8488977,-90.6677436,Centennial Bank Stadium
Arkansas Tech,Great American,Wonder Boys,35.2784173,-93.1337856,Thone Stadium at Buerkle Field
Army,American Athletic,Black Knights,41.3874924,-73.9640891,Michie Stadium
Ashland,Great Midwest Athletic,Eagles,40.8686147,-82.3175942,Jack Miller Stadium
Assumption,Northeast 10,Greyhounds,42.2625621,-71.8018877,Multi-Sport Stadium
Auburn,SEC,Tigers,32.6025532,-85.4897479,Jordan-Hare Stadium
Augsburg,Minnesota,Auggies,44.9772995,-93.2654692,Edor Nelson Field
Augustana (IL),CCIW,Vikings,41.4411786,-90.5766144,Charles D. Lindberg Stadium
Augustana University (SD),Northern Sun,Vikings,43.5488256,-96.7307737,Kirkeby-Over Stadium
Aurora,NACC,Spartans,41.7571701,-88.3147539,Vago Field
Austin,Southern Collegiate Athletic,'Roos,36.2452294,-101.8858689,Jerry E. Apple Stadium
Austin Peay,UAC,Governors,36.5362559,-87.3525507,Governors Stadium
Averett,Old Dominion,Cougars,36.5859718,-79.3950228,Daly Field at Frank R. Campbell Stadium
Baldwin Wallace,Ohio,Yellow Jackets,41.3661614,-81.8543026,George Finnie Stadium
Ball State,Mid-American,Cardinals,40.2159422,-85.4161148,Scheumann Stadium
Bates,NESCAC,Bobcats,44.100351,-70.2147764,Garcelon Field
Baylor,Big 12,Bears,31.5582015,-97.1156702,McLane Stadium
Beloit,Midwest,Buccaneers,42.5083272,-89.031784,Strong Stadium
Bemidji State,Northern Sun,Beavers,47.4785418,-94.8907869,Chet Anderson Stadium
Benedict College,SIAC,Tigers,34.0007493,-81.0343313,Charlie W. Johnson Stadium
Benedictine University,NACC,Eagles,41.801159,-88.0747687,Village of Lisle-Benedictine University Sports Complex
Bentley,Northeast 10,Falcons,42.3756401,-71.2358004,Bentley University Football Stadium
Berry College,Southern Athletic,Vikings,34.275093,-85.1832843,Valhalla Stadium
Bethany (WV),Presidents',Bison,40.205627,-80.5567384,Bison Stadium
Bethel (MN),Minnesota,Royals,45.0761409,-93.1666945,Royal Stadium
Bethune-Cookman,SWAC,Wildcats,29.173466,-81.117511,Municipal Stadium
Biddeford,Commonwealth Coast,Nor'easters,43.6610277,-70.2548596,Blue Storm Stadium
Birmingham-Southern,Southern Athletic,Panthers,33.5206824,-86.8024326,General Charles C. Krulak Stadium
Black Hills State,Rocky Mountain,Yellow Jackets,44.490817,-103.85937,Lyle Hare Stadium
Bloomsburg,Pennsylvania State Athletic,Huskies,41.0044958,-76.4537302,Robert B. Redman Stadium
Bluefield State,CIAA,Big Blue,37.2698395,-81.2223195,Mitchell Stadium
Bluffton,Heartland,Beavers,40.8934459,-83.8917849,Alumni Field (OH)
Boise State,Pac-12,Broncos,43.6028839,-116.1958882,Albertsons Stadium
Boston College,ACC,Eagles,42.335104,-71.1664413,"Alumni Stadium (Chestnut Hill, MA)"
Bowdoin,NESCAC,Polar Bears,43.9145244,-69.9653278,Whittier Field
Bowie State,CIAA,Bulldogs,38.9424464,-76.7301718,Bulldogs Stadium
Bowling Green,Mid-American,Falcons,41.3780114,-83.6225,Doyt L. Perry Stadium
Brevard College,USA South,Tornados,35.2334472,-82.7342919,Brevard Memorial Stadium
Bridgewater State,MSCAC,Bears,41.9903787,-70.9750426,Edward C. Swenson Athletic Complex
Bridgewater (VA),Old Dominion,Eagles,38.3820655,-78.9766975,Jopson Athletic Complex
Brockport,Empire 8,Golden Eagles,43.213671,-77.93918,Bob Boozer Field
Brown,Ivy,Bears,41.842114,-71.3939416,Brown Stadium
Bryant,CAA,Bulldogs,41.924206,-71.5385124,Bulldog Stadium
Bucknell,Patriot,Bison,40.9519411,-76.884752,Christy Mathewson-Memorial Stadium
Buena Vista,American Rivers,Beavers,42.6452817,-95.1992726,J. Leslie Rollins Stadium
Buffalo,Mid-American,Bulls,42.9991334,-78.7775113,UB Stadium
