id,team,mascot,abbreviation,alternateNames,conference,division,classification,color,alternateColor,logos,twitter,location,lat,lon
2006,Akron,Zips,AKR,"['AKR', 'Akron']",Mid-American,East,fbs,#00285e,#84754e,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2006.png']",@ZipsFB,"{'id': 3768, 'name': 'InfoCision Stadium', 'city': 'Akron', 'state': 'OH', 'zip': '44399', 'countryCode': 'US', 'timezone': 'America/New_York', 'latitude': 41.0725534, 'longitude': -81.5083408, 'elevation': '321.2875061', 'capacity': 30000, 'constructionYear': 2009, 'grass': False, 'dome': False}",41.0725534,-81.5083408
333,Alabama,Crimson Tide,ALA,"['ALA', 'Alabama']",SEC,West,fbs,#9e1632,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/333.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/333.png']",@AlabamaFTBL,"{'id': 3657, 'name': 'Bryant-Denny Stadium', 'city': 'Tuscaloosa', 'state': 'AL', 'zip': '35487', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 33.2082752, 'longitude': -87.5503836, 'elevation': '70.05136108', 'capacity': 101821, 'constructionYear': 1929, 'grass': True, 'dome': False}",33.2082752,-87.5503836
2010,Alabama A&M,Bulldogs,AAMU,"['AAMU', 'Alabama A&M']",SWAC,East,fcs,#790000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2010.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2010.png']",@AAMUFB,"{'id': 3809, 'name': 'Louis Crews Stadium', 'city': 'Huntsville', 'state': 'AL', 'zip': '35810', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 34.7835363, 'longitude': -86.5784132, 'elevation': '214.9181061', 'capacity': 21000, 'constructionYear': 1996, 'grass': False, 'dome': False}",34.7835363,-86.5784132
2011,Alabama State,Hornets,ALST,"['ALST', 'Alabama St']",SWAC,East,fcs,#e9a900,#0a0a0a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2011.png']",@BamaStateFB,"{'id': 4582, 'name': 'Hornet Stadium', 'city': 'Montgomery', 'state': 'AL', 'zip': '36106', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 32.3642223, 'longitude': -86.2896902, 'elevation': '79.35839844', 'capacity': 26500, 'constructionYear': 2012, 'grass': False, 'dome': False}",32.3642223,-86.2896902
2016,Alcorn State,Braves,ALCN,"['Alcorn', 'ALCN', 'Alcorn St']",SWAC,East,fcs,#4b0058,#46166a,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2016.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2016.png']",@BravesSports,"{'id': 3771, 'name': 'Jack Spinks Stadium', 'city': 'Lorman', 'state': 'MS', 'zip': '39096', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 31.873621, 'longitude': -91.13488, 'elevation': '72.25324249', 'capacity': 22500, 'constructionYear': 1992, 'grass': False, 'dome': False}",31.873621,-91.13488
8,Arkansas,Razorbacks,ARK,"['ARK', 'Arkansas']",SEC,West,fbs,#a41f35,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/8.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/8.png']",@RazorbackFB,"{'id': 3887, 'name': 'Razorback Stadium', 'city': 'Fayetteville', 'state': 'AR', 'zip': '72702', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 36.0680662, 'longitude': -94.1789534, 'elevation': '403.7972412', 'capacity': 80000, 'constructionYear': 1938, 'grass': False, 'dome': False}",36.0680662,-94.1789534
2029,Arkansas-Pine Bluff,Golden Lions,UAPB,"['Arkansas Pine Bluff', 'UAPB', 'AR-Pine Bluff']",SWAC,West,fcs,#e0aa0f,#eaaa00,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2029.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2029.png']",@UAPBLionsRoar,"{'id': 3740, 'name': 'Golden Lion Stadium', 'city': 'Pine Bluff', 'state': 'AR', 'zip': '71601', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 34.253327, 'longitude': -92.0214031, 'elevation': '67.71961975', 'capacity': 16000, 'constructionYear': 2000, 'grass': False, 'dome': False}",34.253327,-92.0214031
2032,Arkansas State,Red Wolves,ARST,"['ARST', 'Arkansas St']",Sun Belt,East,fbs,#e81018,#000000,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2032.png']",@AStateFB,"{'id': 3625, 'name': 'Centennial Bank Stadium', 'city': 'Jonesboro', 'state': 'AR', 'zip': '72404', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 35.8488977, 'longitude': -90.6677436, 'elevation': '89.52690887', 'capacity': 30382, 'constructionYear': 1974, 'grass': False, 'dome': False}",35.8488977,-90.6677436
2,Auburn,Tigers,AUB,"['AUB', 'Auburn']",SEC,West,fbs,#002b5c,#f26522,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2.png']",@AuburnFootball,"{'id': 3785, 'name': 'Jordan-Hare Stadium', 'city': 'Auburn', 'state': 'AL', 'zip': '36849', 'countryCode': 'US', 'timezone': 'America/Chicago', 'latitude': 32.6025532, 'longitude': -85.4897479, 'elevation': '201.1737976', 'capacity': 87451, 'constructionYear': 1939, 'grass': True, 'dome': False}",32.6025532,-85.4897479
2050,Ball State,Cardinals,BALL,"['BALL', 'Ball State']",Mid-American,West,fbs,#DA0000,#ffffff,"['http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png', 'http://a.espncdn.com/i/teamlogos/ncaa/500-dark/2050.png']",@BallStateFB,"{'id': 3919, 'name': 'Scheumann Stadium', 'city': 'Muncie', 'state': 'IN', 'zip': '47306', 'countryCode': 'US', 'timezone': 'America/Indiana/Indianapolis', 'latitude': 40.2159422, 'longitude': -85.4161148, 'elevation': '285.481781', 'capacity': 22500, 'constructionYear': 1967, 'grass': False, 'dome': False}",40.2159422,-85.4161148
