year,team,portal_inbound_count,portal_outbound_count,portal_net_count,portal_inbound_rating,portal_net_rating
2021,Abilene Christian,4.0,2.0,2.0,0.0,-0.84
2021,Air Force,2.0,4.0,-2.0,0.0,0.0
2021,Akron,3.0,14.0,-11.0,0.0,0.0
2021,Alabama,4.0,11.0,-7.0,1.8599999999999999,-4.77
2021,Alabama A&M,2.0,1.0,1.0,0.0,-0.83
2021,Alabama State,0.0,1.0,-1.0,0.0,0.0
2021,Alcorn State,2.0,1.0,1.0,0.0,-0.83
2021,American International,0.0,1.0,-1.0,0.0,0.0
2021,Angelo State,1.0,0.0,1.0,0.0,0.0
2021,App State,7.0,4.0,3.0,0.8,0.8
2021,Arizona,16.0,18.0,-2.0,6.49,4.03
2021,Arizona State,7.0,18.0,-11.0,3.33,3.33
2021,Arkansas,5.0,16.0,-11.0,2.4699999999999998,-0.050000000000000266
2021,Arkansas State,17.0,9.0,8.0,1.61,-0.019999999999999796
2021,Arkansas Tech,1.0,0.0,1.0,0.0,0.0
2021,Arkansas-Pine Bluff,1.0,1.0,0.0,0.0,0.0
2021,Army,0.0,2.0,-2.0,0.0,0.0
2021,Auburn,10.0,22.0,-12.0,6.76,0.9100000000000001
2021,Austin Peay,3.0,5.0,-2.0,0.0,0.0
2021,Azusa Pacific,0.0,1.0,-1.0,0.0,0.0
2021,BYU,5.0,3.0,2.0,0.9,0.9
2021,Ball State,2.0,9.0,-7.0,0.0,0.0
2021,Baylor,6.0,8.0,-2.0,3.43,1.7700000000000002
2021,Bethune-Cookman,1.0,0.0,1.0,0.0,0.0
2021,Blinn College,4.0,0.0,4.0,0.0,0.0
2021,Boise State,6.0,7.0,-1.0,0.0,0.0
2021,Boston College,6.0,15.0,-9.0,3.31,1.65
2021,Bowie State,1.0,0.0,1.0,0.0,0.0
2021,Bowling Green,5.0,14.0,-9.0,0.0,0.0
2021,Brown,0.0,1.0,-1.0,0.0,0.0
2021,Bryant,1.0,0.0,1.0,0.0,0.0
2021,Bucknell,0.0,1.0,-1.0,0.0,0.0
2021,Buffalo,6.0,20.0,-14.0,0.0,-1.72
2021,Butler C.C.,3.0,0.0,3.0,0.0,0.0
2021,Cal Poly,0.0,2.0,-2.0,0.0,0.0
2021,California,3.0,10.0,-7.0,0.86,0.030000000000000027
2021,Central Connecticut,1.0,0.0,1.0,0.0,0.0
2021,Central Michigan,3.0,18.0,-15.0,0.8,-0.029999999999999916
2021,Central Missouri,1.0,0.0,1.0,0.0,0.0
2021,Central Oklahoma,2.0,0.0,2.0,0.0,0.0
2021,Central Washington,1.0,0.0,1.0,0.0,0.0
2021,Chadron St,0.0,1.0,-1.0,0.0,0.0
2021,Charleston Southern,1.0,1.0,0.0,0.0,0.0
2021,Charlotte,11.0,12.0,-1.0,0.8,-0.8400000000000001
2021,Chattanooga,4.0,0.0,4.0,0.0,0.0
2021,Cincinnati,3.0,10.0,-7.0,0.84,0.84
2021,City College of San Francisco,1.0,0.0,1.0,0.0,0.0
2021,Clemson,0.0,8.0,-8.0,0.0,-5.34
2021,Coastal Carolina,4.0,11.0,-7.0,0.0,0.0
2021,Colgate,0.0,1.0,-1.0,0.0,0.0
2021,College of Charleston,1.0,0.0,1.0,0.0,0.0
2021,College of the Canyons,1.0,0.0,1.0,0.0,0.0
2021,Colorado,6.0,13.0,-7.0,2.46,-0.7800000000000002
2021,Colorado Mesa,3.0,0.0,3.0,0.0,0.0
2021,Colorado State,6.0,13.0,-7.0,1.69,0.04999999999999982
2021,Dartmouth,0.0,1.0,-1.0,0.0,0.0
2021,Delaware,1.0,1.0,0.0,0.0,-0.8
2021,Delta State,1.0,0.0,1.0,0.0,0.0
2021,Duke,8.0,9.0,-1.0,1.6,-1.73
2021,Duquesne,3.0,0.0,3.0,0.0,0.0
2021,East Carolina,11.0,14.0,-3.0,0.0,-0.8
2021,East Tennessee State,2.0,0.0,2.0,0.0,0.0
2021,Eastern Illinois,1.0,2.0,-1.0,0.0,0.0
2021,Eastern Kentucky,8.0,0.0,8.0,0.0,0.0
2021,Eastern Michigan,3.0,12.0,-9.0,0.0,0.0
2021,Eastern Washington,2.0,0.0,2.0,0.0,0.0
2021,Fairmont State,0.0,1.0,-1.0,0.0,-0.82
2021,Florida,7.0,10.0,-3.0,3.4699999999999998,1.0399999999999996
2021,Florida A&M,4.0,0.0,4.0,0.0,0.0
2021,Florida Atlantic,7.0,9.0,-2.0,2.43,2.43
2021,Florida State,12.0,17.0,-5.0,7.7,1.7999999999999998
2021,Fordham,0.0,1.0,-1.0,0.0,0.0
2021,Fort Valley State,1.0,0.0,1.0,0.0,0.0
2021,Fresno State,8.0,13.0,-5.0,1.66,1.66
2021,Furman,0.0,1.0,-1.0,0.0,0.0
2021,Garden City C.C. ,1.0,0.0,1.0,0.0,0.0
2021,Georgia,3.0,13.0,-10.0,2.83,-3.8600000000000003
2021,Georgia Southern,4.0,14.0,-10.0,0.8,-1.72
2021,Georgia State,3.0,7.0,-4.0,0.83,-0.07000000000000006
2021,Georgia Tech,10.0,19.0,-9.0,4.99,1.79
2021,Grand Valley State University,0.0,1.0,-1.0,0.0,0.0
2021,Harvard,0.0,2.0,-2.0,0.0,-0.85
2021,Hawai'i,6.0,10.0,-4.0,0.0,0.0
2021,Holy Cross,0.0,3.0,-3.0,0.0,-0.8
2021,Houston,10.0,12.0,-2.0,3.31,3.31
2021,Houston Christian,0.0,5.0,-5.0,0.0,-0.84
2021,Howard,0.0,1.0,-1.0,0.0,0.0
2021,Hutchinson C.C.,2.0,0.0,2.0,0.0,0.0
2021,Idaho,6.0,0.0,6.0,0.0,0.0
2021,Illinois,9.0,17.0,-8.0,3.26,1.6199999999999997
2021,Illinois State,3.0,2.0,1.0,0.0,-1.67
2021,Incarnate Word,0.0,1.0,-1.0,0.0,0.0
2021,Independence C.C.,3.0,0.0,3.0,0.0,0.0
2021,Indiana,8.0,10.0,-2.0,2.5,2.5
2021,Iowa,1.0,10.0,-9.0,0.84,0.84
2021,Iowa Central C.C.,1.0,0.0,1.0,0.0,0.0
2021,Iowa State,2.0,7.0,-5.0,0.85,0.020000000000000018
2021,Jackson State,18.0,1.0,17.0,0.0,-0.88
2021,Jacksonville State,6.0,1.0,5.0,0.0,-0.83
2021,James Madison,2.0,2.0,0.0,0.0,0.0
2021,Kansas,13.0,27.0,-14.0,1.7,-1.68
2021,Kansas State,8.0,15.0,-7.0,2.46,1.62
2021,Kennesaw State,2.0,1.0,1.0,0.0,0.0
2021,Kent State,7.0,14.0,-7.0,0.0,0.0
2021,Kentucky,7.0,10.0,-3.0,5.9399999999999995,5.9399999999999995
2021,Kentucky State,1.0,0.0,1.0,0.0,0.0
2021,Kilgore J.C.,1.0,0.0,1.0,0.0,0.0
2021,LSU,2.0,14.0,-12.0,1.7799999999999998,-7.630000000000001
2021,Lafayette,1.0,0.0,1.0,0.0,0.0
